PLZ;PLZ;PLZ (Cleaned);PLZ (Removed Duplicates);1. 05. _Seminargesamtliste_ is copied from Ragbit and treated appropriately for correct data period;;;;;;;
71336,00;71336;71336;;;;;;;;;
65795,00;65795;65795;;;;;;;;;
35216,00;35216;35216;;;;;;;;;
;Keine Angabe;;;;;;;;;;
64283,00;64283;64283;;;;;;;;;
65185,00;65185;65185;;;;;;;;;
41061,00;41061;41061;;;;;;;;;
33106,00;33106;33106;;;;;;;;;
67542,00;67542;67542;;;;;;;;;
33100,00;33100;33100;;;;;;;;;
74706,00;74706;74706;;;;;;;;;
;Keine Angabe;;;;;;;;;;
65185,00;65185;65185;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
63263,00;63263;63263;;;;;;;;;
77933,00;77933;77933;;;;;;;;;
60325,00;60325;60325;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
68519,00;68519;68519;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
;Keine Angabe;;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
65510,00;65510;65510;;;;;;;;;
;Keine Angabe;;;;;;;;;;
69488,00;69488;69488;;;;;;;;;
64807,00;64807;64807;;;;;;;;;
64319,00;64319;64319;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
Hamburg;20095;20095;;;;;;;;;
63743,00;63743;63743;;;;;;;;;
97877,00;97877;97877;;;;;;;;;
64285,00;64285;64285;;;;;;;;;
86647,00;86647;86647;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
;Keine Angabe;;;;;;;;;;
90409,00;90409;90409;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
69121,00;69121;69121;;;;;;;;;
65760,00;65760;65760;;;;;;;;;
64832,00;64832;64832;;;;;;;;;
64625,00;64625;64625;;;;;;;;;
64625,00;64625;64625;;;;;;;;;
64625,00;64625;64625;;;;;;;;;
Bensheim;Keine Angabe;;;;;;;;;;
64653,00;64653;64653;;;;;;;;;
Bensheim;Keine Angabe;;;;;;;;;;
Bad Schwalbach;Keine Angabe;;;;;;;;;;
64521,00;64521;64521;;;;;;;;;
Wertheim;Keine Angabe;;;;;;;;;;
64625,00;64625;64625;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
61440,00;61440;61440;;;;;;;;;
64293,00;64293;64293;;;;;;;;;
65428,00;65428;65428;;;;;;;;;
Darmstadt;64283;64283;;;;;;;;;
60486,00;60486;60486;;;;;;;;;
60388,00;60388;60388;;;;;;;;;
